Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe		1,888 K	11,632 K	7564	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,340 K	6,652 K	924	Host Process for Windows Services	Microsoft Corporation
  MsMpEng.exe	0.45	121,032 K	137,220 K	7724	Antimalware Service Executable	Microsoft Corporation
  NisSrv.exe		7,192 K	10,908 K	7096	Microsoft Network Realtime Inspection Service	Microsoft Corporation
  svchost.exe		1,664 K	6,720 K	3116	Host Process for Windows Services	Microsoft Corporation
 lsass.exe	0.07	6,140 K	17,404 K	672	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,488 K	3,656 K	868		
csrss.exe	0.03	1,740 K	4,708 K	532		
winlogon.exe		2,592 K	9,764 K	620		
 fontdrvhost.exe		2,520 K	6,024 K	1000		
 dwm.exe	0.74	32,972 K	66,816 K	372		
explorer.exe	0.13	48,860 K	134,792 K	4636	Windows Explorer	Microsoft Corporation
 MSASCuiL.exe		1,848 K	9,060 K	6284	Windows Defender notification icon	Microsoft Corporation
 OneDrive.exe		24,020 K	60,752 K	6364	Microsoft OneDrive	Microsoft Corporation
 procexp64.exe	1.14	18,384 K	51,008 K	3352	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
jusched.exe		3,024 K	13,088 K	6924	Java Update Scheduler	Oracle Corporation
firefox.exe	0.96	187,948 K	269,388 K	928	Firefox	Mozilla Corporation
 firefox.exe	0.03	319,352 K	385,860 K	1524	Firefox	Mozilla Corporation
 firefox.exe		71,196 K	136,260 K	3888	Firefox	Mozilla Corporation
 firefox.exe		20,484 K	50,148 K	2868	Firefox	Mozilla Corporation
 firefox.exe		101,432 K	161,108 K	4188	Firefox	Mozilla Corporation
 firefox.exe		77,728 K	132,904 K	7184	Firefox	Mozilla Corporation

